kommunenr_2024,kommunenavn_2024,BA-region,Reisetid,Ut-pendling,Inn-pendling,Inkluderingsgrunnlag
5540,Gáivuotna - Kåfjord - Kaivuono,144 Gáivuotna - Kåfjord - Kaivuono,18.14,53.74,53.74,Restkommune. egen BA-region
5542,Skjervøy,145 Skjervøy,12.1,70.45,70.45,Restkommune. egen BA-region
5544,Nordreisa - Ráisa - Raisi,146 Nordreisa,12.68,62.14,62.14,Restkommune. egen BA-region
5546,Kvænangen,147 Kvænangen,14.43,56.94,56.94,Restkommune. egen BA-region
5601,Alta,134 Alta,11.78,75.46,75.46,Restkommune. egen BA-region
5603,Hammerfest - Hámmerfeasta,137 Hammerfest,11.87,76.86,76.86,Restkommune. egen BA-region
5605,Sør-Varanger,159 Sør-Varanger,14.89,72.17,72.17,Restkommune. egen BA-region
5607,Vadsø,136 Vadsø,6.08,71.69,71.69,Senterkommune
5610,Kárá?johka - Karasjok,154 Kárášjohka - Karasjok,6.35,69.43,69.43,Restkommune. egen BA-region
5612,Guovdageaidnu - Kautokeino,148 Guovdageaidnu - Kautokeino,14.87,65.97,65.97,Restkommune. egen BA-region
5614,Loppa,149 Loppa,41.87,56.16,56.16,Restkommune. egen BA-region
5616,Hasvik,150 Hasvik,12.72,59.2,59.2,Restkommune. egen BA-region
5618,Måsøy,151 Måsøy,11.81,65.01,65.01,Restkommune. egen BA-region
5620,Nordkapp,152 Nordkapp,7.24,68.4,68.4,Restkommune. egen BA-region
5622,Porsanger - Porsángu - Porsanki,153 Porsanger - Porsáŋgu - Porsanki ,15.7,67.84,67.84,Restkommune. egen BA-region
5624,Lebesby,155 Lebesby,34.76,66.62,66.62,Restkommune. egen BA-region
5626,Gamvik,155 Lebesby,41.91,3.9,3.68,Reisevei < 45. sum pendling > 6
5628,Deatnu - Tana,157 Deatnu - Tana,21.05,63.91,63.91,Restkommune. egen BA-region
5630,Berlevåg,156 Berlevåg,2.58,66.39,66.39,Restkommune. egen BA-region
5632,Båtsfjord,158 Båtsfjord,1.58,71.36,71.36,Restkommune. egen BA-region
5634,Vardø,135 Vardø,3.16,61.93,61.93,Restkommune. egen BA-region
5636,Unjárga - Nesseby,136 Vadsø,38.95,9.75,1.47,Utpendling > 8
